epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,6464.38,0.21625,0.0881,0.00198,0.00102,0.99452,0.99792,0.99494,0.99285,0.1637,0.06543,0.00134,0.00071,0.0005744,0.0005744,0.0005744
38,6638.78,0.21632,0.08835,0.00196,0.00102,0.99625,0.99738,0.99494,0.99282,0.16066,0.06376,0.00132,0.00061,0.0005348,0.0005348,0.0005348
39,6812.28,0.21266,0.08681,0.00193,0.00101,0.99675,0.99678,0.99494,0.99292,0.15946,0.0636,0.00133,0.0006,0.0004952,0.0004952,0.0004952
40,6986.57,0.21381,0.09057,0.00192,0.00098,0.997,0.99701,0.99495,0.99288,0.16275,0.06268,0.00135,0.00058,0.0004556,0.0004556,0.0004556
41,7159.66,0.17715,0.06966,0.00109,0.00076,0.9967,0.99825,0.99492,0.99269,0.16083,0.06229,0.00131,0.00059,0.000416,0.000416,0.000416
42,7330.62,0.17451,0.06618,0.00105,0.00073,0.997,0.99677,0.99494,0.99265,0.16114,0.06237,0.00132,0.00059,0.0003764,0.0003764,0.0003764
43,7501.55,0.17448,0.06769,0.00104,0.00074,0.99657,0.99625,0.99495,0.99246,0.16243,0.06462,0.00131,0.0006,0.0003368,0.0003368,0.0003368
44,7672.52,0.17205,0.0671,0.00103,0.00069,0.99609,0.9955,0.99496,0.99233,0.16137,0.06455,0.0013,0.00059,0.0002972,0.0002972,0.0002972
45,7843.65,0.17085,0.06715,0.001,0.00072,0.99575,0.9975,0.99494,0.9925,0.16049,0.06323,0.00129,0.00058,0.0002576,0.0002576,0.0002576
46,8014.76,0.1682,0.06621,0.001,0.00068,0.99601,0.99625,0.99495,0.9925,0.16096,0.06469,0.00129,0.00058,0.000218,0.000218,0.000218
47,8185.95,0.16548,0.06614,0.00098,0.00068,0.99438,0.997,0.99495,0.99289,0.1597,0.06431,0.00129,0.00062,0.0001784,0.0001784,0.0001784
48,8357.23,0.16555,0.06598,0.001,0.00067,0.99526,0.99625,0.99494,0.99267,0.1589,0.06407,0.00128,0.00058,0.0001388,0.0001388,0.0001388
49,8528.38,0.16422,0.06336,0.00097,0.00065,0.99526,0.99777,0.99497,0.99244,0.15928,0.06383,0.00129,0.00058,9.92e-05,9.92e-05,9.92e-05
