epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
21,3668.88,0.24303,0.10934,0.00207,0.00142,0.99389,0.99675,0.99484,0.99147,0.17894,0.07542,0.00144,0.00077,0.001208,0.001208,0.001208
22,3842.79,0.24103,0.10363,0.00202,0.00129,0.99667,0.99325,0.99496,0.99131,0.17619,0.07309,0.00138,0.00066,0.0011684,0.0011684,0.0011684
23,4017.35,0.23959,0.10249,0.00201,0.00119,0.99303,0.9975,0.99486,0.99225,0.17141,0.07065,0.00136,0.00069,0.0011288,0.0011288,0.0011288
24,4191.81,0.23634,0.09937,0.00209,0.00129,0.99665,0.9935,0.99493,0.99151,0.17594,0.07163,0.00141,0.00065,0.0010892,0.0010892,0.0010892
25,4366.31,0.23824,0.10085,0.00199,0.0012,0.99525,0.99547,0.99489,0.9921,0.17098,0.07082,0.00138,0.00071,0.0010496,0.0010496,0.0010496
26,4540.53,0.23665,0.09961,0.00204,0.00125,0.99351,0.99563,0.99492,0.99227,0.16938,0.06954,0.00135,0.00071,0.00101,0.00101,0.00101
27,4714.92,0.23379,0.09781,0.00201,0.0012,0.99477,0.99625,0.99495,0.99125,0.17571,0.06982,0.00142,0.00077,0.0009704,0.0009704,0.0009704
28,4889.56,0.23428,0.09858,0.00208,0.00119,0.99725,0.99765,0.99497,0.99268,0.16775,0.06452,0.00137,0.00068,0.0009308,0.0009308,0.0009308
29,5064.09,0.23267,0.09862,0.00205,0.00123,0.99677,0.99625,0.99493,0.99174,0.17266,0.06916,0.00139,0.00081,0.0008912,0.0008912,0.0008912
30,5238.42,0.23038,0.09442,0.00207,0.00117,0.99477,0.99764,0.99493,0.99217,0.16969,0.06784,0.00138,0.00062,0.0008516,0.0008516,0.0008516
31,5412.26,0.2314,0.09583,0.00201,0.00113,0.99843,0.9975,0.99496,0.99258,0.17127,0.06445,0.00137,0.00066,0.000812,0.000812,0.000812
