epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,6659.89,0.26419,0.10369,0.00207,0.00248,0.99749,0.99725,0.995,0.99106,0.18267,0.0668,0.00147,0.00087,0.002674,0.002674,0.002674
39,6834.9,0.26291,0.1026,0.00207,0.00247,0.99725,0.99637,0.99499,0.99121,0.1834,0.06915,0.00149,0.00105,0.002476,0.002476,0.002476
40,7010.21,0.26021,0.10511,0.00205,0.00206,0.99975,0.99347,0.995,0.99087,0.18726,0.069,0.00153,0.00083,0.002278,0.002278,0.002278
41,7183.76,0.213,0.08411,0.00125,0.00161,0.99418,0.99675,0.9949,0.98989,0.18273,0.07226,0.00147,0.00081,0.00208,0.00208,0.00208
42,7354.65,0.20769,0.07849,0.00122,0.00142,0.99775,0.99591,0.99498,0.99048,0.18385,0.06824,0.00147,0.00094,0.001882,0.001882,0.001882
43,7525.81,0.2059,0.07646,0.00123,0.00139,0.99799,0.99318,0.99498,0.99089,0.1829,0.07023,0.00146,0.00084,0.001684,0.001684,0.001684
44,7696.91,0.20301,0.07598,0.0012,0.00129,0.99725,0.99597,0.99498,0.99162,0.18115,0.06738,0.00146,0.00086,0.001486,0.001486,0.001486
45,7868.25,0.20257,0.08416,0.00123,0.00131,0.99644,0.994,0.99497,0.99062,0.18515,0.07246,0.00155,0.00099,0.001288,0.001288,0.001288
46,8039.45,0.20215,0.07996,0.00123,0.00121,0.99699,0.99508,0.99499,0.99038,0.18285,0.07199,0.00153,0.00089,0.00109,0.00109,0.00109
47,8210.66,0.19687,0.07517,0.00118,0.00112,0.997,0.99547,0.99499,0.99128,0.18094,0.06833,0.00146,0.00082,0.000892,0.000892,0.000892
48,8381.91,0.19414,0.07122,0.00117,0.00107,0.99775,0.99775,0.99499,0.99106,0.17873,0.06493,0.00144,0.00079,0.000694,0.000694,0.000694
49,8553.49,0.19003,0.06881,0.00114,0.00102,0.99916,0.9965,0.995,0.99097,0.17946,0.06396,0.00143,0.0008,0.000496,0.000496,0.000496
50,8725.2,0.18911,0.06874,0.00114,0.00102,0.998,0.99596,0.99499,0.99094,0.17846,0.06627,0.00143,0.00078,0.000298,0.000298,0.000298
