epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,35961.1,0.25479,0.10481,0.00203,0.0023,0.99551,0.9967,0.99495,0.99111,0.17009,0.06838,0.00137,0.00087,0.002674,0.002674,0.002674
39,36829.3,0.25408,0.10266,0.0021,0.00224,0.99353,0.99803,0.99496,0.99142,0.17078,0.06606,0.00138,0.00077,0.002476,0.002476,0.002476
40,37696.1,0.24949,0.09866,0.00216,0.00204,0.99675,0.99756,0.99491,0.99184,0.16887,0.06821,0.00137,0.00073,0.002278,0.002278,0.002278
41,38562.8,0.20104,0.08069,0.00118,0.0015,0.99669,0.995,0.99495,0.99144,0.17277,0.06849,0.00137,0.00081,0.00208,0.00208,0.00208
42,39428.5,0.19878,0.07882,0.00117,0.0014,0.99318,0.9965,0.99491,0.99156,0.17255,0.07253,0.00144,0.0009,0.001882,0.001882,0.001882
43,40292.2,0.20145,0.08502,0.00121,0.0014,0.99437,0.996,0.99491,0.99129,0.17148,0.07081,0.00145,0.00087,0.001684,0.001684,0.001684
44,41158.1,0.19618,0.08442,0.00119,0.00126,0.99626,0.99806,0.99465,0.99115,0.17141,0.06814,0.00143,0.00083,0.001486,0.001486,0.001486
45,42022.7,0.19074,0.07668,0.00116,0.00117,0.99527,0.99905,0.99495,0.99182,0.17149,0.06689,0.00143,0.00083,0.001288,0.001288,0.001288
46,42885.8,0.18847,0.07628,0.00116,0.0011,0.99253,0.99673,0.99468,0.99172,0.1711,0.07327,0.00143,0.0008,0.00109,0.00109,0.00109
47,43752.3,0.18456,0.07212,0.00114,0.001,0.99452,0.99807,0.99492,0.99194,0.16995,0.0677,0.00142,0.0008,0.000892,0.000892,0.000892
48,44615.9,0.18266,0.07071,0.00113,0.00099,0.99477,0.99816,0.99491,0.99192,0.16908,0.06753,0.00141,0.00082,0.000694,0.000694,0.000694
49,45481.8,0.18033,0.06802,0.0011,0.00092,0.99427,0.99731,0.99476,0.99133,0.17028,0.06918,0.00141,0.0008,0.000496,0.000496,0.000496
50,46346,0.17769,0.06863,0.00109,0.00089,0.99478,0.997,0.99479,0.9916,0.16875,0.06806,0.0014,0.00077,0.000298,0.000298,0.000298
